"100.N.60min.1.bam" "100.N.60min.2.bam" "100.N.60min.3.bam" "500.N.10min.1.bam" "500.N.10min.2.bam" "500.N.10min.3.bam" "500.N.20min.1.bam" "500.N.20min.2.bam" "500.N.20min.3.bam" "500.N.60min.1.bam" "500.N.60min.2.bam" "500.N.60min.3.bam"
"STM14_1002" 146 204 170 13 4 18 35 11 25 182 171 249
"STM14_1003" 210 255 268 21 6 32 38 28 49 362 393 406
"STM14_1004" 58 53 51 5 3 4 3 5 5 82 92 93
"STM14_1005" 316 390 432 52 15 41 67 32 78 606 526 637
"STM14_1006" 42 51 46 5 1 4 6 6 7 69 57 70
"STM14_1007" 518 551 623 79 18 33 70 65 96 807 822 957
"STM14_1008" 158 197 253 51 14 20 33 36 56 295 349 427
"STM14_1009" 104 114 111 20 2 18 16 21 26 244 297 281
"STM14_1010" 25 35 43 5 2 3 5 5 1 102 102 105
"STM14_1012" 669 778 1007 102 25 94 167 82 188 509 548 668
"STM14_1013" 1170 1348 1836 100 25 89 152 69 181 921 918 1446
"STM14_1014" 575 637 604 127 26 96 81 63 117 491 572 707
"STM14_1015" 443 499 341 46 10 42 31 74 47 369 515 715
"STM14_1016" 109 81 87 19 3 5 10 6 13 80 94 111
"STM14_1017" 188 245 270 74 16 52 52 41 63 254 284 283
"STM14_1018" 89 90 103 37 12 37 30 17 25 128 187 208
"STM14_1019" 1 1 0 0 0 0 0 0 1 0 3 2
"STM14_1020" 70 75 119 15 1 7 10 6 17 105 143 177
"STM14_1021" 286 267 346 96 15 50 58 34 65 682 765 793
"STM14_1022" 369 409 443 74 22 54 69 53 76 458 496 673
"STM14_1023" 1928 1906 2344 343 63 316 312 193 584 1688 1603 1923
"STM14_1024" 90 111 125 10 2 13 13 10 20 68 82 91
"STM14_1025" 585 694 751 75 19 54 86 41 82 370 382 444
"STM14_1026" 351 409 432 81 7 50 59 25 47 313 311 281
"STM14_1027" 465 499 599 134 22 77 81 75 87 474 477 507
"STM14_1028" 430 434 752 21 4 22 39 15 39 611 594 682
"STM14_1029" 149 167 239 12 2 19 12 12 17 201 175 205
"STM14_1030" 51 55 82 4 1 5 7 2 11 73 62 86
"STM14_1031" 97 81 108 12 0 7 10 4 16 108 105 126
"STM14_1032" 163 192 247 40 8 28 36 14 46 246 310 354
"STM14_1033" 240 271 267 78 14 33 38 30 40 264 328 427
"STM14_1034" 0 1 0 2 0 0 0 1 0 4 7 8
"STM14_1035" 33 33 38 8 0 3 7 0 5 67 109 103
"STM14_1036" 14 17 14 4 1 0 0 5 2 46 27 39
"STM14_1037" 121 112 174 28 5 18 15 8 27 130 163 166
"STM14_1038" 32 43 48 7 1 3 6 4 9 25 37 60
"STM14_1039" 176 196 242 18 8 16 22 16 32 141 171 236
"STM14_1040" 676 704 921 197 28 79 90 60 97 493 495 627
"STM14_1041" 1083 1101 1358 266 47 108 144 67 136 686 684 920
"STM14_1042" 2737 2852 3556 458 87 265 295 187 354 1895 2008 2627
"STM14_1043" 1064 1157 1509 186 33 118 193 91 217 942 1142 1509
"STM14_1044" 2415 2750 3206 274 79 241 332 249 389 2424 2368 2775
"STM14_1045" 475 475 676 72 13 34 70 52 101 456 491 637
"STM14_1046" 597 606 859 103 19 66 91 44 113 596 602 778
"STM14_1047" 384 470 501 83 20 58 59 37 78 393 357 420
"STM14_1048" 185 179 231 15 8 17 27 14 24 187 222 243
"STM14_1049" 399 427 604 27 18 55 59 21 59 417 489 531
"STM14_1050" 1691 1859 2609 41 14 62 124 53 137 1576 1419 1977
"STM14_1051" 115 144 179 17 0 11 21 11 27 174 185 228
"STM14_1052" 84 103 131 9 2 13 11 6 17 123 129 152
"STM14_1053" 8 6 5 4 1 3 1 1 3 4 7 23
"STM14_1054" 772 781 976 104 21 90 148 86 191 1104 1208 1399
"STM14_1055" 3 7 11 1 1 0 0 0 0 7 6 13
"STM14_1056" 747 773 845 131 35 109 150 70 192 941 1059 1192
"STM14_1057" 1258 1162 1549 861 157 408 436 358 479 948 1023 1466
"STM14_1058" 437 465 641 134 23 43 114 85 122 807 987 1439
"STM14_1059" 443 514 652 119 28 96 100 80 122 743 909 1171
"STM14_1060" 0 0 0 0 0 0 0 0 0 0 0 0
"STM14_1061" 0 0 0 0 0 0 0 0 0 0 0 0
"STM14_1062" 1183 1552 1899 99 27 112 173 88 258 1175 1179 1178
"STM14_1063" 774 805 894 117 28 114 209 107 265 1033 1063 1466
"STM14_1064" 14728 14044 19237 1127 295 1429 2854 1383 3669 21824 23087 25877
"STM14_1065" 133 190 161 56 17 31 33 18 43 155 202 178
"STM14_1066" 542 584 727 174 40 113 127 94 141 807 883 1074
"STM14_1067" 14 20 19 3 0 0 1 3 1 34 23 47
"STM14_1068" 55 70 89 2 0 1 7 3 9 50 69 101
"STM14_1069" 12 21 35 0 0 0 1 0 1 9 18 31
"STM14_1070" 53 70 107 2 0 1 4 4 4 57 67 89
"STM14_1072" 153 232 217 34 2 15 21 23 22 112 80 121
"STM14_1073" 34 34 62 3 2 9 4 1 4 41 59 69
"STM14_1074" 135 139 169 65 12 28 23 27 39 159 170 189
"STM14_1075" 1704 1729 2197 878 167 394 336 285 353 1844 1758 1913
"STM14_1076" 110 101 133 40 8 26 14 12 27 140 147 173
"STM14_1077" 536 578 611 127 27 54 54 34 74 395 344 408
"STM14_1078" 1107 1283 1282 240 37 132 128 107 147 892 720 726
"STM14_1079" 1578 1559 1765 371 72 201 211 145 271 1562 1485 1457
"STM14_1080" 11950 11766 13898 2384 523 1391 2236 1578 2758 10944 9702 10407
"STM14_1081" 35 53 56 12 4 11 19 7 9 73 63 66
"STM14_1082" 277 318 347 67 48 97 127 80 108 397 418 438
"STM14_1083" 4930 4387 6187 902 198 761 1096 665 1312 6626 6270 6845
"STM14_1084" 4851 5093 6133 1050 261 820 902 601 992 6461 6166 6341
"STM14_1085" 1317 1458 1717 246 65 187 247 143 324 1188 1068 1228
"STM14_1086" 650 594 764 166 32 135 93 82 134 586 511 553
"STM14_1087" 313 370 485 93 49 135 67 47 86 399 424 586
"STM14_1088" 7061 6559 8348 1595 359 1310 822 632 1078 7361 9282 11057
"STM14_1089" 38 33 66 22 4 13 15 4 8 47 68 91
"STM14_1090" 9 9 15 8 1 4 0 2 3 5 6 8
"STM14_1091" 14 8 17 4 0 5 1 0 6 6 21 23
"STM14_1092" 0 9 3 1 0 0 1 2 0 4 9 13
"STM14_1093" 4 3 7 1 0 0 0 1 1 13 6 5
"STM14_1094" 26 25 38 3 0 0 4 1 3 34 62 60
"STM14_1095" 134 152 160 44 20 37 25 10 30 163 193 325
"STM14_1096" 1510 1530 1906 301 61 160 228 119 240 1906 2009 2368
"STM14_1097" 49 61 69 15 5 5 10 5 15 75 116 117
"STM14_1098" 88 104 136 21 5 13 26 7 25 127 192 231
"STM14_1099" 25482 28654 34098 3658 780 1601 3044 1908 3515 20390 18063 23390
"STM14_1100" 1389 1641 1999 356 57 112 202 177 306 1548 1535 1890
"STM14_1101" 1717 1516 1983 789 127 304 416 305 406 1695 1141 1104
"STM14_1102" 0 0 0 0 0 0 0 0 0 0 0 0
"STM14_1103" 449 456 628 29 8 41 50 29 85 448 439 551
"STM14_1104" 23 22 49 2 0 2 1 0 5 25 23 28
"STM14_1105" 4561 4458 6073 731 187 733 957 509 1203 5081 4813 5044
"STM14_1106" 2276 2341 2926 534 134 478 551 282 547 2079 1859 1963
"STM14_1107" 193 190 272 55 17 28 41 24 49 246 231 287
"STM14_1108" 6 4 3 2 0 2 0 1 1 9 4 6
"STM14_1109" 1322 1427 1660 645 116 300 354 354 549 1786 1667 1688
"STM14_1110" 78080 75609 87307 41118 7418 12448 15944 12906 18271 64299 54456 56006
"STM14_1111" 5084 6033 6370 1102 185 455 785 566 940 5093 4796 5426
"STM14_1112" 66 62 70 20 6 8 5 9 9 78 148 162
"STM14_1113" 1361 1327 1785 593 141 335 331 209 376 792 938 1176
"STM14_1114" 307 251 359 178 42 106 63 40 83 161 132 215
"STM14_1115" 109 128 120 33 11 21 23 13 32 52 77 97
"STM14_1116" 187 251 257 44 15 41 34 34 51 222 180 234
"STM14_1117" 1270 1334 1518 450 71 173 286 191 309 1217 1128 1279
"STM14_1118" 18 17 21 7 2 4 6 5 6 29 31 26
"STM14_1119" 81 89 102 18 3 11 19 11 26 125 134 143
"STM14_1120" 73 61 87 22 2 7 12 7 9 81 97 114
"STM14_1121" 566 621 698 149 32 121 139 62 137 508 488 743
"STM14_1122" 742 741 927 161 29 123 175 75 149 561 599 811
"STM14_1123" 642 639 823 150 38 134 169 70 158 463 496 586
"STM14_1124" 4682 4867 5831 844 233 920 982 486 935 2893 3080 3672
"STM14_1125" 1377 1644 2061 111 31 140 202 110 254 1602 1771 2261
"STM14_1126" 573 879 896 62 13 51 76 23 60 448 444 658
"STM14_1127" 610 781 799 104 27 71 87 48 81 493 465 572
"STM14_1128" 2354 2665 3050 613 134 495 368 176 401 1949 2008 2406
"STM14_1129" 0 2 4 0 0 1 0 1 0 3 4 2
"STM14_1130" 210 288 373 12 3 8 10 4 16 366 437 454
"STM14_1131" 5 1 8 0 0 0 0 0 0 4 10 12
"STM14_1132" 10299 9536 13087 2110 492 1554 1309 838 1521 12492 12704 14254
"STM14_1133" 5 7 9 0 0 0 2 1 2 6 9 15
"STM14_1134" 60 61 100 13 3 12 21 5 17 108 108 171
"STM14_1135" 5 6 3 1 0 2 4 4 0 5 9 7
"STM14_1136" 78 79 110 10 6 9 14 9 16 131 137 142
"STM14_1137" 2 3 5 1 0 0 2 0 1 11 14 15
"STM14_1138" 40 16 43 5 2 5 3 3 11 56 86 88
"STM14_1139" 1127 1092 1493 228 45 113 264 173 268 1030 1164 1237
"STM14_1140" 646 730 855 92 13 53 93 53 112 730 702 896
"STM14_1141" 13 20 28 1 0 1 4 1 4 7 21 25
"STM14_1142" 43 45 32 2 2 0 1 4 5 32 24 52
"STM14_1143" 266 357 266 37 2 14 32 18 17 116 134 187
"STM14_1144" 442 676 478 63 22 28 43 27 28 216 251 306
"STM14_1145" 132 180 151 23 9 8 19 21 17 87 70 96
"STM14_1146" 7 7 15 6 2 0 0 3 1 10 6 21
"STM14_1147" 26 34 21 7 1 2 2 2 5 33 21 36
"STM14_1148" 464 515 720 187 55 119 212 170 210 1038 1063 1221
"STM14_1149" 10 24 26 6 1 4 6 2 4 16 26 39
"STM14_1150" 118 141 156 11 4 11 19 17 14 124 152 194
"STM14_1151" 50 50 46 5 7 2 11 9 12 65 83 103
"STM14_1152" 22 20 19 5 1 2 0 4 6 22 16 37
"STM14_1153" 5 11 5 2 0 1 3 0 1 13 22 17
"STM14_1154" 15 20 23 7 1 1 1 3 4 35 35 56
"STM14_1155" 1385 1446 1881 472 96 267 407 212 387 1796 1400 1665
"STM14_1156" 409 438 535 64 21 33 96 51 112 792 926 1124
"STM14_1157" 254 244 287 37 12 22 53 29 81 585 682 911
"STM14_1158" 97 122 140 10 2 5 18 13 20 307 453 580
"STM14_1159" 27 26 25 6 0 3 1 1 3 48 47 71
"STM14_1160" 5 6 9 2 0 1 1 1 0 25 65 98
"STM14_1161" 1 3 1 0 0 0 0 0 0 4 7 11
"STM14_1162" 9 19 22 2 1 2 3 3 2 59 95 121
"STM14_1163" 70 74 107 24 4 16 20 12 18 181 188 235
"STM14_1164" 11 11 12 8 0 1 1 1 5 24 29 21
"STM14_1165" 55 60 73 37 9 20 20 12 17 98 85 124
"STM14_1166" 119 161 196 39 16 22 32 18 34 171 206 302
"STM14_1167" 2 14 9 1 0 1 2 1 0 31 34 38
"STM14_1168" 11 16 23 1 1 2 2 4 7 36 60 56
"STM14_1169" 10 14 19 5 0 4 1 0 1 22 23 50
"STM14_1170" 13 26 20 3 2 0 3 1 2 46 53 45
"STM14_1171" 91 103 119 16 4 6 9 6 14 114 90 141
"STM14_1172" 53 74 79 11 3 5 8 7 13 51 60 68
"STM14_1173" 108 137 176 21 4 8 16 11 27 129 110 158
"STM14_1174" 1 9 9 0 0 1 0 0 1 10 8 22
"STM14_1175" 6 10 8 1 0 1 2 0 0 2 2 7
"STM14_1176" 13 9 9 1 0 1 3 1 5 11 7 6
"STM14_1177" 13 15 13 4 0 2 0 2 0 10 18 25
"STM14_1178" 30 27 50 6 1 4 7 4 12 32 54 73
"STM14_1179" 26 26 20 1 0 3 4 2 6 16 16 31
"STM14_1180" 17 9 13 3 2 4 0 2 1 12 19 23
"STM14_1181" 98 90 104 28 4 22 27 15 19 89 118 147
"STM14_1182" 8 6 2 1 0 2 0 2 0 16 16 15
"STM14_1183" 81 98 133 17 2 12 11 5 29 110 131 171
"STM14_1184" 1048 1193 1421 179 46 90 171 113 224 734 696 1038
"STM14_1185" 53 61 90 13 3 4 12 11 20 80 95 117
"STM14_1186" 42 42 60 3 1 4 4 4 13 46 64 72
"STM14_1187" 66 73 66 14 2 10 6 5 7 69 73 83
"STM14_1188" 115 114 157 17 5 20 23 15 24 133 188 230
"STM14_1189" 6 15 8 4 0 4 2 2 2 11 5 6
"STM14_1190" 75 91 109 7 4 9 13 11 8 129 172 213
"STM14_1191" 28 33 22 1 0 1 5 4 6 24 37 63
"STM14_1192" 0 1 0 0 0 0 0 0 0 1 3 5
"STM14_1193" 49 64 64 19 9 10 11 3 18 113 149 171
"STM14_1194" 49 62 59 11 1 9 8 12 18 104 103 137
"STM14_1195" 39 40 47 7 1 6 6 11 21 82 134 141
"STM14_1196" 57 61 79 15 5 13 9 12 23 92 81 102
"STM14_1197" 288 367 430 99 22 37 112 76 135 399 338 457
"STM14_1198" 11 13 20 2 0 0 1 1 4 23 24 30
"STM14_1199" 3869 4454 5149 512 140 424 594 292 679 3974 3826 5316
"STM14_1200" 256 363 339 144 16 30 47 38 58 214 171 220
"STM14_1201" 1 2 4 4 0 1 1 0 0 5 5 10
"STM14_1202" 435 488 577 82 11 34 60 41 86 503 648 867
"STM14_1203" 241 285 296 68 11 39 69 17 48 330 430 529
"STM14_1204" 766 937 1061 327 54 149 174 105 157 632 628 685
"STM14_1205" 1342 1391 1764 513 106 253 318 180 272 813 755 848
"STM14_1206" 459 510 596 167 24 85 97 63 136 316 392 449
"STM14_1207" 925 1047 1214 314 58 147 221 157 235 677 640 807
"STM14_1208" 363 447 542 167 22 60 93 54 104 309 232 275
"STM14_1209" 4 1 9 6 0 2 0 2 2 5 8 7
"STM14_1210" 875 1354 1223 35 10 19 44 25 44 800 617 826
"STM14_1211" 1263 1239 1494 1043 223 665 429 305 539 695 599 708
"STM14_1212" 716 764 903 314 64 188 92 93 113 664 643 723
"STM14_1213" 344 364 451 72 18 49 62 46 97 374 387 541
"STM14_1214" 125569 117628 169022 20954 4584 10250 23223 14861 26435 80575 82602 108579
"STM14_1215" 509 439 637 68 14 32 86 45 95 850 976 968
"STM14_1216" 0 1 2 0 0 0 1 0 1 8 8 9
"STM14_1217" 158 172 228 26 5 21 27 15 24 166 219 313
"STM14_1218" 587 538 744 126 29 86 104 80 118 580 681 781
"STM14_1219" 212 195 270 44 12 22 35 25 45 220 244 239
"STM14_1220" 1166 1304 1670 172 38 129 186 127 205 1316 1327 1458
"STM14_1221" 511 553 679 104 19 111 114 64 128 513 526 660
"STM14_1222" 26 56 63 6 0 4 4 5 8 65 83 105
"STM14_1223" 439 563 656 56 11 62 81 49 113 364 280 394
"STM14_1224" 458 517 672 131 28 244 153 85 207 478 491 575
"STM14_1225" 221 269 350 93 16 71 49 48 42 229 245 252
"STM14_1226" 39 39 68 9 0 2 7 4 8 50 64 87
"STM14_1227" 147 177 215 23 4 16 28 16 30 201 262 337
"STM14_1228" 96 120 128 19 7 11 12 20 28 118 131 188
"STM14_1229" 543 560 621 192 43 87 112 74 120 473 416 457
"STM14_1230" 7784 9817 10447 2077 410 1097 1985 1187 2515 7346 6563 8270
"STM14_1232" 105 117 145 57 13 20 36 21 39 336 446 543
"STM14_1233" 69 52 39 9 2 2 3 4 6 112 151 191
"STM14_1234" 5 9 2 0 0 0 0 0 0 2 2 4
"STM14_1235" 153 125 115 3 1 0 2 4 14 25 33 40
"STM14_1236" 1087 1375 956 32 2 11 16 17 51 158 140 179
"STM14_1237" 3992 4768 3441 63 9 11 44 44 135 424 350 495
"STM14_1238" 14 16 16 1 1 6 7 5 11 14 22 28
"STM14_1239" 8 2 22 5 1 0 4 0 7 6 14 26
"STM14_1240" 106 112 142 22 8 9 33 8 34 179 250 373
"STM14_1241" 172 149 218 59 15 41 47 33 33 211 249 289
"STM14_1242" 172 185 231 47 16 31 39 22 49 223 267 326
"STM14_1243" 126 186 232 24 10 13 48 28 52 173 179 257
"STM14_1244" 111 86 128 31 4 21 32 23 66 112 78 110
"STM14_1245" 241 201 303 40 12 52 67 23 125 452 480 501
"STM14_1246" 33 23 44 1 1 3 4 3 8 52 54 68
"STM14_1247" 73 75 77 8 2 7 7 5 9 117 170 169
"STM14_1248" 177 199 225 55 12 32 43 21 39 232 195 205
"STM14_1249" 2 5 1 0 0 0 0 0 0 5 7 11
"STM14_1250" 75 77 88 6 1 5 15 3 18 125 154 222
"STM14_1251" 84 103 130 8 1 4 9 3 14 163 176 192
"STM14_1252" 73 78 106 1 0 5 4 6 6 84 91 110
"STM14_1253" 18 24 26 0 1 1 1 0 3 32 17 16
"STM14_1254" 6 2 5 0 0 0 0 0 0 3 9 7
"STM14_1255" 17 23 39 3 0 2 1 2 3 23 43 45
"STM14_1256" 15 22 20 0 0 5 0 0 2 25 18 21
"STM14_1257" 49 50 68 5 1 4 11 3 5 45 52 73
"STM14_1258" 22 46 47 3 0 3 8 2 3 25 39 48
"STM14_1259" 123 140 156 11 3 8 9 4 14 82 86 102
"STM14_1260" 1 3 6 0 0 0 1 0 0 5 6 7
"STM14_1261" 87 70 128 13 7 8 19 7 15 152 147 230
"STM14_1262" 8 17 21 3 1 2 2 2 1 38 40 71
"STM14_1263" 510 632 704 29 13 31 59 37 66 551 556 767
"STM14_1264" 1213 1427 1673 109 22 71 173 90 193 1318 1475 1840
"STM14_1265" 0 0 0 0 1 0 0 0 1 1 3 3
"STM14_1266" 189 227 235 31 6 15 44 22 74 122 171 216
"STM14_1267" 47 44 66 20 0 11 16 10 14 56 62 70
"STM14_1268" 18 21 26 6 0 7 9 5 4 17 22 40
"STM14_1269" 7 11 31 3 0 4 6 1 2 14 15 21
"STM14_1270" 496 566 620 81 32 116 129 66 161 467 554 797
"STM14_1271" 2734 4085 3845 213 53 85 236 136 265 2291 2192 3746
"STM14_1272" 3308 4559 4498 130 50 96 207 125 326 2357 2189 3881
"STM14_1273" 4 0 1 1 0 2 1 0 0 9 9 5
"STM14_1274" 0 0 0 0 0 0 0 0 0 0 0 0
"STM14_1275" 2219 3432 3925 52 13 29 228 140 369 2332 1697 3974
"STM14_1276" 153 195 213 34 9 29 25 25 40 156 167 182
"STM14_1277" 313 401 477 43 17 52 47 26 49 305 271 327
"STM14_1279" 2 3 2 0 0 0 0 0 1 0 3 14
"STM14_1280" 0 0 0 0 0 0 0 0 0 0 0 0
"STM14_1281" 1450 1544 2257 138 66 259 271 74 297 1794 2068 2345
"STM14_1282" 35 50 52 1 0 4 7 1 7 35 42 52
"STM14_1283" 934 1226 1412 33 12 58 117 64 168 1075 1056 1708
"STM14_1285" 768 810 883 223 58 134 135 102 126 862 856 1071
"STM14_1286" 77 82 97 11 1 6 10 10 19 202 188 246
"STM14_1287" 801 797 1036 103 21 90 171 62 192 1415 1769 2158
"STM14_1288" 4 10 13 0 0 1 5 2 2 7 6 19
"STM14_1289" 26 27 40 3 0 2 3 2 3 24 39 40
"STM14_1290" 150 146 179 17 2 7 23 8 20 136 149 175
"STM14_1291" 2 4 0 1 0 0 1 0 0 2 17 7
"STM14_1292" 2 3 9 1 0 0 0 1 0 3 7 15
"STM14_1293" 41 47 57 8 3 1 7 5 7 59 84 92
"STM14_1294" 16 18 8 4 1 4 5 0 6 40 23 51
"STM14_1295" 31 32 19 8 1 2 5 2 3 73 89 128
"STM14_1296" 160 244 265 28 3 18 32 22 37 241 223 279
"STM14_1298" 1 3 0 0 0 0 0 0 0 0 5 6
"STM14_1299" 2086 2291 2635 464 92 317 528 367 617 1905 1605 1688
"STM14_1300" 1198 1188 1511 276 65 166 224 145 249 1283 1205 1433
"STM14_1301" 863 878 1015 190 28 83 122 93 154 716 797 879
"STM14_1302" 514 585 588 246 46 153 190 156 258 506 670 1033
"STM14_1303" 51 47 92 27 8 10 14 8 20 103 136 197
"STM14_1304" 10 18 32 0 1 1 1 1 1 22 38 48
"STM14_1305" 10 27 32 5 0 0 1 0 1 21 39 58
"STM14_1306" 23 31 55 0 0 3 2 2 2 52 69 74
"STM14_1307" 0 0 0 1 0 0 0 0 0 2 1 2
"STM14_1308" 0 0 0 0 0 0 0 0 0 3 4 3
"STM14_1309" 9 2 7 1 0 0 2 1 0 24 49 44
"STM14_1310" 27 50 48 8 1 3 7 0 12 77 112 175
"STM14_1311" 9 9 12 3 0 0 0 0 0 18 34 42
"STM14_1312" 84 106 100 10 1 9 5 6 13 62 72 63
"STM14_1313" 91 90 82 14 5 6 22 18 17 86 89 95
"STM14_1314" 507 613 685 106 20 55 90 69 125 530 547 705
"STM14_1315" 295 280 395 110 25 55 66 32 84 355 374 495
"STM14_1316" 45 50 78 7 5 2 11 7 5 52 70 101
"STM14_1317" 6032 6258 7370 1895 434 1097 1387 1022 1512 5932 5219 5604
"STM14_1318" 3816 4035 4840 1306 255 832 859 576 799 3651 3053 3043
"STM14_1319" 299 387 469 26 11 12 12 7 33 189 147 249
"STM14_1320" 338 491 500 23 5 16 19 4 30 185 157 293
"STM14_1321" 62 87 118 10 2 10 16 9 18 77 84 137
"STM14_1322" 19 14 19 2 0 1 5 2 2 22 21 19
"STM14_1323" 548 581 721 114 16 65 109 62 143 581 670 832
"STM14_1324" 719 837 1047 108 16 55 102 61 149 626 632 837
"STM14_1325" 289 356 409 46 13 23 24 19 40 186 169 211
"STM14_1326" 35 54 44 7 1 6 4 5 4 18 40 49
"STM14_1327" 1 3 6 0 0 0 1 1 1 5 11 11
"STM14_1328" 3 13 13 2 1 0 4 0 4 9 19 20
"STM14_1329" 470 555 713 100 21 121 108 59 98 488 542 668
"STM14_1330" 483 547 799 163 35 162 252 172 488 1258 1348 1905
"STM14_1331" 284 314 419 44 8 31 41 15 56 439 492 615
"STM14_1332" 740 706 949 113 26 75 95 61 72 429 458 419
"STM14_1333" 1351 1499 1913 303 91 199 284 182 352 1837 2059 2556
"STM14_1334" 8818 10542 11944 330 71 335 727 357 1065 6470 6408 9558
"STM14_1335" 88 109 144 15 2 11 8 8 14 106 129 142
"STM14_1336" 851 982 1226 160 49 215 195 104 322 912 1089 1529
"STM14_1337" 1024 1071 1310 140 61 173 200 70 260 1170 1363 1632
"STM14_1338" 640 757 920 99 37 114 122 67 178 755 813 950
"STM14_1339" 12 18 14 4 4 4 3 2 6 19 15 20
"STM14_1340" 315 363 476 96 19 30 61 34 47 324 385 458
"STM14_1341" 944 966 1104 218 24 130 224 159 295 1082 1057 1452
"STM14_1342" 601 617 633 112 26 90 121 102 169 655 677 818
"STM14_1343" 497 514 512 88 17 59 44 50 96 340 342 300
"STM14_1344" 1 0 2 0 0 0 0 0 0 4 2 6
"STM14_1345" 540 513 513 191 32 132 63 45 88 276 305 216
"STM14_1346" 562 598 566 213 32 119 64 61 102 297 315 255
"STM14_1347" 1044 1090 965 346 93 206 119 115 170 491 591 471
"STM14_1348" 1888 2097 1789 782 156 441 283 210 339 916 931 696
"STM14_1349" 705 722 630 254 60 157 84 95 146 270 329 251
"STM14_1350" 659 636 506 332 56 201 94 83 144 277 322 236
"STM14_1351" 306 345 264 116 32 72 37 32 53 146 189 115
"STM14_1352" 338 388 313 133 40 71 47 41 81 188 204 187
"STM14_1353" 254 290 268 122 33 65 36 29 56 114 157 129
"STM14_1354" 2980 2865 3369 629 105 563 727 604 993 3477 3882 4193
"STM14_1355" 2433 2494 2836 454 73 354 527 436 796 2863 3061 3373
"STM14_1356" 12 9 10 1 1 2 4 3 7 22 15 19
"STM14_1357" 5417 5401 6632 986 227 844 817 557 726 8280 9186 9127
"STM14_1358" 915 944 1225 211 55 191 181 140 200 1501 1502 1671
"STM14_1359" 1717 1582 1939 528 126 358 395 305 449 1554 1562 1534
"STM14_1360" 209 192 231 102 19 43 58 42 55 200 263 327
"STM14_1361" 76 65 84 24 1 13 19 8 13 93 80 123
"STM14_1362" 442 491 572 73 14 76 87 44 104 576 556 618
"STM14_1363" 14254 13857 17711 4616 992 2441 3007 2267 3258 16243 13572 13879
"STM14_1364" 12680 12511 15576 4086 857 1919 2506 2110 3248 12968 10617 10906
"STM14_1365" 4017 3696 5014 1728 235 749 1034 794 1484 4667 3730 3808
"STM14_1366" 3259 3033 3924 1378 239 675 1050 802 1091 3888 3707 3871
"STM14_1367" 5285 5198 6368 2018 387 975 1566 1191 1706 6387 6235 6585
"STM14_1368" 13349 12460 16136 4820 964 2725 4098 2609 4954 13461 11686 13000
"STM14_1369" 29919 29458 36131 9298 1816 5640 7402 4359 9234 28724 25569 28262
"STM14_1370" 14891 14505 17648 5061 939 2632 3600 2539 3933 19314 20528 22341
"STM14_1371" 304 336 439 62 19 25 48 33 56 356 487 659
"STM14_1372" 203 259 278 50 13 33 41 15 54 227 300 358
"STM14_1373" 350 350 413 52 21 43 48 31 49 414 433 451
"STM14_1374" 307 282 330 59 11 55 41 36 46 343 374 358
"STM14_1375" 804 893 1028 155 29 80 79 63 127 553 509 739
"STM14_1376" 69 67 74 21 5 5 8 5 9 42 36 65
"STM14_1377" 6616 8434 7018 665 139 412 382 236 495 2468 2561 3064
"STM14_1378" 37 34 68 5 4 2 6 1 7 43 55 62
"STM14_1379" 885 931 1271 102 34 104 116 59 146 699 667 874
"STM14_1380" 820 797 1028 100 24 90 102 68 113 619 612 739
"STM14_1381" 968 1090 1397 136 32 112 150 58 144 816 887 1178
"STM14_1382" 392 427 504 66 16 61 53 33 60 237 291 401
"STM14_1383" 641 746 936 102 26 115 119 74 184 583 574 819
"STM14_1384" 1299 1577 1834 135 37 135 178 79 260 1259 1354 1716
"STM14_1385" 102 107 124 33 5 12 17 12 14 91 120 149
"STM14_1386" 624 691 931 159 23 65 125 83 199 464 422 795
"STM14_1387" 2211 2228 2678 384 77 241 338 233 413 2373 2402 2646
"STM14_1388" 560 476 632 52 9 37 63 52 62 1323 1588 1918
"STM14_1389" 603 803 971 115 32 81 149 98 205 585 437 562
"STM14_1390" 5 6 7 0 0 2 2 1 2 8 1 15
"STM14_1391" 2756 2688 3383 330 78 299 448 276 426 3185 3047 3365
"STM14_1392" 1149 1130 1450 232 54 146 222 138 270 1448 1335 1505
"STM14_1393" 550 528 691 128 17 83 122 63 127 698 643 656
"STM14_1394" 617 624 697 175 32 111 122 83 178 603 586 637
"STM14_1395" 876 801 1001 176 45 127 199 117 243 768 681 741
"STM14_1396" 1414 1479 1698 297 63 195 301 155 353 1185 1119 1146
"STM14_1397" 1007 1000 1193 488 86 236 171 106 179 809 717 801
"STM14_1398" 217 228 268 106 16 66 49 35 60 358 384 467
"STM14_1399" 18 31 29 10 4 4 5 3 11 32 36 56
"STM14_1400" 79 68 114 43 12 23 22 5 42 129 144 196
"STM14_1401" 1 2 7 0 1 0 2 3 1 7 8 9
"STM14_1402" 80 75 86 48 13 15 8 15 16 68 86 109
"STM14_1403" 150 179 216 106 16 41 21 21 39 123 138 197
"STM14_1404" 244 280 370 23 11 28 19 14 36 169 191 320
"STM14_1405" 5 10 6 1 0 0 0 0 3 5 4 4
"STM14_1406" 578 603 792 174 37 136 134 100 163 909 964 1143
"STM14_1407" 613 643 752 164 35 109 108 86 122 568 560 708
"STM14_1408" 2155 2184 2858 582 105 306 567 347 640 1643 1696 2552
