"100.N.60min.1.bam" "100.N.60min.2.bam" "100.N.60min.3.bam" "500.N.10min.1.bam" "500.N.10min.2.bam" "500.N.10min.3.bam" "500.N.20min.1.bam" "500.N.20min.2.bam" "500.N.20min.3.bam" "500.N.60min.1.bam" "500.N.60min.2.bam" "500.N.60min.3.bam"
"STM14_0090" 18 9 23 3 2 2 1 2 4 19 22 26
"STM14_0091" 13 16 35 4 1 0 4 2 5 24 19 41
"STM14_0092" 37 26 30 3 0 2 6 2 6 30 43 47
"STM14_0093" 2 13 8 2 0 0 4 0 3 9 5 7
"STM14_0094" 76 83 79 15 6 3 8 6 11 88 124 165
"STM14_0095" 329 495 609 11 5 14 19 14 36 126 124 348
"STM14_0096" 47 92 97 12 2 10 16 11 29 97 96 139
"STM14_0097" 26 24 30 6 1 3 7 9 8 40 41 77
"STM14_0098" 144 195 163 13 3 9 31 13 23 206 191 247
"STM14_0099" 2 5 3 2 0 0 2 4 0 11 28 25
"STM14_0100" 777 743 821 269 55 136 216 180 227 1417 1284 1408
"STM14_0101" 4 5 3 0 1 1 3 0 0 14 2 12
"STM14_0102" 0 1 1 2 0 1 2 1 1 8 5 11
"STM14_0103" 66 83 89 2 0 3 2 2 10 71 45 113
"STM14_0104" 155 174 229 14 2 10 4 1 16 131 135 177
"STM14_0105" 12 16 20 0 0 3 1 0 1 8 7 18
"STM14_0106" 260 352 356 39 9 21 41 17 53 315 280 351
"STM14_0107" 1246 1375 1437 194 25 155 161 146 168 985 1009 1071
"STM14_0108" 594 658 725 141 34 75 100 81 124 529 555 662
"STM14_0109" 1799 1965 2062 394 81 218 272 211 252 1821 1680 1952
"STM14_0110" 1466 1463 1701 405 100 275 313 191 270 1325 1090 1216
"STM14_0111" 6680 6635 7865 1472 332 965 1384 858 1389 6093 5037 5542
"STM14_0112" 12015 11639 14210 2451 542 1612 2459 1564 2668 11755 10482 11938
"STM14_0113" 17 21 24 5 1 3 7 1 8 23 18 25
"STM14_0114" 583 590 713 153 37 140 161 121 190 724 681 708
"STM14_0115" 510 533 543 116 16 67 63 63 79 613 508 467
"STM14_0116" 2459 2561 2674 494 68 216 272 226 192 3108 2518 2121
"STM14_0117" 348 342 401 111 14 64 70 57 58 541 641 553
"STM14_0118" 51 81 78 18 5 6 18 9 18 109 115 148
"STM14_0119" 33 24 19 7 2 4 7 4 9 78 110 103
"STM14_0120" 50 34 57 10 2 3 4 4 7 77 94 100
"STM14_0121" 67 61 78 3 0 5 4 5 6 82 93 126
"STM14_0122" 77 77 84 6 2 3 11 7 7 96 112 119
"STM14_0123" 938 980 1214 75 15 60 101 57 120 1461 1482 1672
"STM14_0124" 436 459 545 65 13 44 75 40 61 666 621 674
"STM14_0125" 150 162 143 47 6 24 24 21 40 158 151 146
"STM14_0126" 198 171 162 72 11 35 38 35 32 153 159 118
"STM14_0127" 327 362 385 94 18 54 66 51 57 301 276 236
"STM14_0128" 7 4 12 2 0 3 4 1 3 5 3 11
"STM14_0129" 209 275 271 51 7 37 62 41 62 253 284 334
"STM14_0130" 4722 4047 7552 303 52 212 275 175 421 4235 2306 2423
"STM14_0131" 507 432 684 10 7 23 61 29 36 678 621 629
"STM14_0132" 1047 936 1367 26 10 43 101 55 99 1394 1412 1433
"STM14_0133" 1303 1174 1744 49 18 52 142 93 118 1710 1697 1891
"STM14_0134" 1708 1620 2433 51 15 62 187 166 198 2936 3032 3642
"STM14_0135" 20 20 20 9 1 2 5 6 7 23 33 47
"STM14_0136" 0 2 3 0 0 0 0 0 0 4 3 12
"STM14_0137" 2 1 2 0 0 0 1 1 0 3 3 9
"STM14_0138" 60 74 64 8 0 7 16 14 12 89 102 158
"STM14_0139" 641 633 772 107 24 85 146 96 131 648 608 664
"STM14_0140" 500 455 543 33 11 29 52 42 65 539 453 448
"STM14_0141" 99 73 97 8 1 4 12 0 16 116 90 64
